;Kashmirites;Kelteroceras;Sakhaites;Pseudoceltites;Preflorianites;Eukashmirites;Hanielites;Glyptophiceras;Xenoceltites;Subvishnuites;Melagathiceras;Juvenites;Thermalites;Proharpoceras;Lepiskites;Clypeoceras;Clypeoceratoides;Pseudaspidites;Paraspidites;Lingyunites;Wyomingites;Anaflemingites;Meekoceras;Gyronites;Prionolobus;Flemingites;Euflemingites;Anaxenaspis;Pseudoflemingites;Subflemingites;Arctoceras;Submeekoceras;Ussuria;Metussuria;Parussuria;Oxyussuria;Platussuria;Anasibirites;Gurleyites;Hemiprionites;Prionites;Wasachites;Parastephanites;Anawasachites;Arctoprionites;Stephanites;Inyoites;Lanceolites;Elkoceras;Paranannites;Owenites;Metinyoites;Clypites;Cordillerites;Tellerites;Hedenstroemia;Pseudosageceras;Mesohedenstroemia;Aspenites;Hemiaspenites;Pseudaspenites
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Spiti;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
Salt-Range;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0
Oman;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1
Timor;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;1
Afghanistan;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1
South-China;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1
California;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;1;0;0
Nevada;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0
Idaho;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0
Caucasus;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
British-Columbia;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0
Spitsbergen;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
Ellesmere;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
Olenek-Lena;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
