;?Xenodiscoides;Sulioticeras;Hemilecanites;Paranoritoides;Proptychitoides;Evenites;Koninckitoides;Arctomeekoceras;Boreomeekoceras;Neomeekoceras;Pseudosvalbardiceras;Bajarunia;Nordophiceras;Boreoceras;Pseudokymatites;Subinyoites;Isculitoides;Chiotites;Chioceras;Protropites;Zenoites;Vickohlerites;Popovites;Albanites;Byrrangoceras;Hyrcanites;Kiparisovites;Tozericeras;Pseudosageceras;Cordillerites;Metasageceras;Beatites;Dinarites;Pseudodinarites;Dagnoceras;Stacheites;Balkanites;Tirolites;Diaplococeras;Dorikranites;Columbites;?Tirolites;Procolumbites;Pleurocolumbites;?Ceratites;Hellenites;Pallasites;Pseudoharpoceras;Paragoceras;Epiceltites;Epiceltitoides;Subcolumbites;Fengshanites;Prenkites;Tunglanites;Khvalynites;Metadagnoceras;Metahedenstroemia;Procarnites;Doaboceras;Neopopanoceras;Digitophyllites;Procarnitoides;Prosphingites;Sibirites;Parasibirites;Tjururpites;Kazakhstanites;Olenikites;Svalbardiceras;Keyserlingtes;Olenekoceras;Monacanthites;Prohungarites;?Middlemissites;Qilianshanites;Dalmatites;?Prohungarites;?Hungarites-yatesi;Eodanubites;Preflorianitoides;Proacrochordiceras;?Acrochordiceras;Eoacrochordicereas;Eogymnites;Ziyunites;Procladiscites;Paleophyllites;Eophyllites;Mangyshlakites;Meropella;Leiophyllites;Ussurites
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Salt-Range;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Timor;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Afghanistan;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
Iran;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
South-china;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0
Albania;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
California;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
