;Xenodiscoides;Gyrophiceras;Kashmirites;Sakhaitoides;Eoptychites;Dunedinites;Koninckites;Vavilovites;Eovavilovites;Tompoproptychites;Proptychites;Kingites;Paranorites;Heibergites;Collignonites;Meekophiceras;Pleurogyronites;Ambites;Pleurambites;Gyronites;Prionolobus;Flemingites;Pseudosageceras
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1
Spiti;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1
Salt-Range;1;1;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1
Timor;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1
South-China;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1
Nevada;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1
British-Columbia;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1
Spitsbergen;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ellesmere;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1
Olenek-Lena;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
